datetime,open,high,low,close,turnover,volume,openInterest
2016-10-10 09:00:59.500,2245.0,2269.0,2243.0,2261.0,2702521400.0,119792,-6662
2016-10-10 09:01:59.500,2261.0,2267.0,2260.0,2266.0,1217767440.0,53798,9128
2016-10-10 09:02:59.500,2266.0,2270.0,2265.0,2265.0,951338020.0,41948,3128
2016-10-10 09:03:59.500,2265.0,2273.0,2265.0,2269.0,1260333740.0,55516,-4890
2016-10-10 09:04:59.500,2269.0,2271.0,2266.0,2271.0,548427580.0,24174,2568
2016-10-10 09:05:59.500,2271.0,2273.0,2267.0,2268.0,785421100.0,34600,3244
2016-10-10 09:06:59.500,2268.0,2269.0,2261.0,2261.0,719573160.0,31774,3860
2016-10-10 09:07:59.500,2261.0,2263.0,2254.0,2256.0,1125256840.0,49840,6578
2016-10-10 09:08:59.500,2256.0,2257.0,2231.0,2237.0,1897066880.0,84508,6070
2016-10-10 09:09:59.500,2237.0,2238.0,2223.0,2228.0,1776030640.0,79666,22
2016-10-10 09:10:59.500,2228.0,2228.0,2210.0,2219.0,2529383320.0,114092,9716
2016-10-10 09:11:59.500,2219.0,2227.0,2218.0,2224.0,1343807000.0,60498,7956
2016-10-10 09:12:59.500,2224.0,2225.0,2222.0,2225.0,789061520.0,35482,5326
2016-10-10 09:13:59.500,2225.0,2226.0,2220.0,2223.0,559417100.0,25162,2662
2016-10-10 09:14:59.500,2223.0,2224.0,2220.0,2220.0,559874740.0,25198,8034
2016-10-10 09:15:59.500,2220.0,2230.0,2219.0,2228.0,1025930360.0,46142,3950
2016-10-10 09:16:59.500,2228.0,2230.0,2224.0,2228.0,527195120.0,23664,756
2016-10-10 09:17:59.500,2228.0,2230.0,2227.0,2229.0,275669340.0,12370,2852
2016-10-10 09:18:59.500,2229.0,2230.0,2225.0,2226.0,605680860.0,27194,3062
2016-10-10 09:19:59.500,2226.0,2229.0,2224.0,2224.0,376683620.0,16922,3344
2016-10-10 09:20:59.500,2224.0,2227.0,2223.0,2224.0,326610360.0,14682,2106
2016-10-10 09:21:59.500,2224.0,2228.0,2224.0,2226.0,257361480.0,11558,-452
2016-10-10 09:22:59.500,2226.0,2231.0,2226.0,2230.0,371314620.0,16658,-564
2016-10-10 09:23:59.500,2230.0,2232.0,2230.0,2230.0,498347780.0,22338,-2110
2016-10-10 09:24:59.500,2230.0,2239.0,2229.0,2235.0,736969840.0,32976,-6710
2016-10-10 09:25:59.500,2235.0,2237.0,2233.0,2235.0,479026880.0,21432,-3130
2016-10-10 09:26:59.500,2235.0,2237.0,2234.0,2234.0,282619080.0,12644,-30
2016-10-10 09:27:59.500,2234.0,2236.0,2233.0,2236.0,327804220.0,14668,-2348
2016-10-10 09:28:59.500,2236.0,2238.0,2235.0,2235.0,318919540.0,14256,-3008
2016-10-10 09:29:59.500,2235.0,2242.0,2235.0,2241.0,731519080.0,32664,-4312
2016-10-10 09:30:59.500,2241.0,2242.0,2236.0,2238.0,499511060.0,22312,46
2016-10-10 09:31:59.500,2238.0,2238.0,2235.0,2235.0,179322580.0,8018,694
2016-10-10 09:32:59.500,2235.0,2237.0,2234.0,2235.0,340969640.0,15254,3402
2016-10-10 09:33:59.500,2235.0,2237.0,2234.0,2234.0,219068820.0,9802,2832
2016-10-10 09:34:59.500,2234.0,2235.0,2233.0,2233.0,234576400.0,10500,922
2016-10-10 09:35:59.500,2233.0,2236.0,2233.0,2235.0,149838580.0,6706,922
2016-10-10 09:36:59.500,2235.0,2236.0,2232.0,2232.0,368455800.0,16500,-1820
2016-10-10 09:37:59.500,2232.0,2236.0,2232.0,2234.0,173330940.0,7758,1296
2016-10-10 09:38:59.500,2234.0,2234.0,2232.0,2233.0,221167060.0,9906,-1998
2016-10-10 09:39:59.500,2233.0,2235.0,2232.0,2232.0,247174500.0,11064,-804
2016-10-10 09:40:59.500,2232.0,2234.0,2232.0,2234.0,98476000.0,4410,956
2016-10-10 09:41:59.500,2234.0,2234.0,2232.0,2233.0,158569360.0,7102,1310
2016-10-10 09:42:59.500,2233.0,2234.0,2231.0,2231.0,233825440.0,10476,-2900
2016-10-10 09:43:59.500,2231.0,2236.0,2231.0,2234.0,283978400.0,12714,2510
2016-10-10 09:44:59.500,2234.0,2234.0,2231.0,2231.0,183617400.0,8226,286
2016-10-10 09:45:59.500,2231.0,2232.0,2230.0,2231.0,306592580.0,13746,538
2016-10-10 09:46:59.500,2231.0,2232.0,2230.0,2231.0,103481420.0,4638,1166
2016-10-10 09:47:59.500,2231.0,2232.0,2230.0,2230.0,80768400.0,3620,1060
2016-10-10 09:48:59.500,2230.0,2231.0,2228.0,2228.0,395646880.0,17752,-5194
2016-10-10 09:49:59.500,2228.0,2234.0,2228.0,2229.0,345627500.0,15492,1382
2016-10-10 09:50:59.500,2229.0,2233.0,2228.0,2231.0,277121060.0,12428,1440
2016-10-10 09:51:59.500,2231.0,2231.0,2229.0,2229.0,107527580.0,4822,-692
2016-10-10 09:52:59.500,2229.0,2231.0,2229.0,2231.0,85666200.0,3842,1152
2016-10-10 09:53:59.500,2231.0,2231.0,2229.0,2230.0,96476140.0,4326,-764
2016-10-10 09:54:59.500,2230.0,2233.0,2230.0,2233.0,161177720.0,7222,726
2016-10-10 09:55:59.500,2233.0,2233.0,2229.0,2230.0,128185400.0,5746,474
2016-10-10 09:56:59.500,2230.0,2232.0,2229.0,2230.0,101535360.0,4552,124
2016-10-10 09:57:59.500,2230.0,2230.0,2226.0,2228.0,399300740.0,17926,4558
2016-10-10 09:58:59.500,2228.0,2231.0,2227.0,2229.0,139082620.0,6238,-14
2016-10-10 09:59:59.500,2229.0,2236.0,2229.0,2235.0,530765220.0,23760,1138
2016-10-10 10:00:00.500,2235.0,2235.0,2234.0,2234.0,36738380.0,1644,356
2016-10-10 10:00:59.500,2234.0,2235.0,2230.0,2232.0,636765700.0,28528,3898
2016-10-10 10:01:59.500,2232.0,2234.0,2230.0,2231.0,305052000.0,13668,1592
2016-10-10 10:02:59.500,2231.0,2233.0,2231.0,2232.0,162856760.0,7296,-20
2016-10-10 10:03:59.500,2232.0,2233.0,2229.0,2232.0,350633220.0,15716,726
2016-10-10 10:04:59.500,2232.0,2233.0,2231.0,2233.0,95008740.0,4258,-748
2016-10-10 10:05:59.500,2233.0,2233.0,2231.0,2231.0,73757540.0,3304,-90
2016-10-10 10:06:59.500,2231.0,2232.0,2230.0,2231.0,48450500.0,2172,-724
2016-10-10 10:07:59.500,2231.0,2232.0,2230.0,2230.0,45099640.0,2022,80
2016-10-10 10:08:59.500,2230.0,2231.0,2229.0,2229.0,156772680.0,7030,-1382
2016-10-10 10:09:59.500,2229.0,2231.0,2229.0,2230.0,59359420.0,2662,482
2016-10-10 10:10:59.000,2230.0,2231.0,2229.0,2230.0,81891300.0,3672,92
2016-10-10 10:11:59.500,2230.0,2232.0,2230.0,2232.0,83334700.0,3734,-442
2016-10-10 10:12:59.500,2232.0,2233.0,2232.0,2233.0,149491780.0,6696,920
2016-10-10 10:13:59.000,2233.0,2234.0,2232.0,2232.0,97159940.0,4350,294
2016-10-10 10:14:59.000,2232.0,2235.0,2232.0,2234.0,184283380.0,8250,1302
2016-10-10 10:30:00.500,2234.0,2235.0,2234.0,2235.0,52695680.0,2358,490
2016-10-10 10:30:59.500,2235.0,2236.0,2234.0,2234.0,183088720.0,8192,1190
2016-10-10 10:31:59.500,2234.0,2237.0,2234.0,2236.0,429472680.0,19208,4634
2016-10-10 10:32:59.500,2236.0,2237.0,2235.0,2236.0,159196920.0,7120,930
2016-10-10 10:33:59.500,2236.0,2237.0,2235.0,2235.0,77358020.0,3460,-384
2016-10-10 10:34:59.000,2235.0,2235.0,2234.0,2235.0,102213680.0,4574,-184
2016-10-10 10:35:59.000,2235.0,2235.0,2233.0,2235.0,145569080.0,6516,-508
2016-10-10 10:36:59.000,2235.0,2236.0,2234.0,2235.0,84747640.0,3792,754
2016-10-10 10:37:59.000,2235.0,2235.0,2232.0,2233.0,208503320.0,9334,-286
2016-10-10 10:38:59.500,2233.0,2234.0,2233.0,2234.0,33281400.0,1490,-312
2016-10-10 10:40:00.000,2234.0,2234.0,2233.0,2233.0,45110720.0,2020,804
2016-10-10 10:40:59.500,2233.0,2234.0,2233.0,2234.0,62545480.0,2800,88
2016-10-10 10:41:59.500,2234.0,2234.0,2232.0,2233.0,76196220.0,3412,368
2016-10-10 10:42:59.000,2233.0,2234.0,2232.0,2232.0,47153060.0,2112,608
2016-10-10 10:43:59.000,2232.0,2233.0,2232.0,2232.0,45592720.0,2042,370
2016-10-10 10:44:59.000,2232.0,2233.0,2231.0,2231.0,167772500.0,7518,188
2016-10-10 10:45:59.500,2231.0,2234.0,2231.0,2234.0,157790800.0,7068,1894
2016-10-10 10:46:59.500,2234.0,2235.0,2233.0,2235.0,132219480.0,5918,788
2016-10-10 10:47:59.500,2235.0,2235.0,2232.0,2232.0,98643380.0,4416,320
2016-10-10 10:48:59.000,2232.0,2234.0,2231.0,2234.0,124172200.0,5562,-774
2016-10-10 10:50:00.000,2234.0,2234.0,2232.0,2232.0,53450980.0,2394,672
2016-10-10 10:50:59.500,2232.0,2233.0,2232.0,2233.0,65735600.0,2944,-352
2016-10-10 10:51:59.500,2233.0,2234.0,2232.0,2232.0,30499920.0,1366,-98
2016-10-10 10:52:59.500,2232.0,2235.0,2232.0,2235.0,96237020.0,4308,860
2016-10-10 10:53:59.000,2235.0,2235.0,2233.0,2234.0,110237260.0,4934,1164
2016-10-10 10:54:59.500,2234.0,2235.0,2233.0,2235.0,112625920.0,5040,-198
2016-10-10 10:55:59.500,2235.0,2236.0,2234.0,2235.0,115000940.0,5146,1888
2016-10-10 10:56:59.500,2235.0,2236.0,2235.0,2235.0,97049820.0,4342,300
2016-10-10 10:57:59.500,2235.0,2235.0,2232.0,2233.0,179097540.0,8020,-166
2016-10-10 10:58:59.500,2233.0,2233.0,2228.0,2230.0,536784040.0,24072,4852
2016-10-10 10:59:59.500,2230.0,2231.0,2229.0,2230.0,168322480.0,7548,-426
2016-10-10 11:00:00.500,2230.0,2230.0,2229.0,2229.0,48819880.0,2190,682
2016-10-10 11:00:59.500,2229.0,2232.0,2228.0,2230.0,316130560.0,14180,2298
2016-10-10 11:01:59.500,2230.0,2230.0,2229.0,2230.0,110725080.0,4966,396
2016-10-10 11:02:59.500,2230.0,2232.0,2229.0,2231.0,108942040.0,4884,214
2016-10-10 11:03:59.000,2231.0,2232.0,2230.0,2231.0,66167660.0,2966,1064
2016-10-10 11:04:59.000,2231.0,2231.0,2228.0,2229.0,120970500.0,5426,1400
2016-10-10 11:05:59.000,2229.0,2230.0,2226.0,2228.0,317736480.0,14262,4106
2016-10-10 11:06:59.000,2228.0,2230.0,2228.0,2230.0,94540020.0,4242,116
2016-10-10 11:07:59.000,2230.0,2231.0,2229.0,2231.0,94019260.0,4216,-352
2016-10-10 11:08:59.000,2231.0,2231.0,2230.0,2230.0,43723220.0,1960,316
2016-10-10 11:09:59.000,2230.0,2233.0,2230.0,2232.0,224163580.0,10046,-2560
2016-10-10 11:10:59.000,2232.0,2233.0,2231.0,2231.0,59315820.0,2658,96
2016-10-10 11:11:59.500,2231.0,2234.0,2231.0,2234.0,127508920.0,5712,478
2016-10-10 11:12:59.500,2234.0,2238.0,2234.0,2237.0,634782480.0,28386,4428
2016-10-10 11:13:59.500,2237.0,2241.0,2236.0,2240.0,856499500.0,38254,-4542
2016-10-10 11:14:59.500,2240.0,2240.0,2238.0,2240.0,413003460.0,18442,700
2016-10-10 11:15:59.500,2240.0,2246.0,2240.0,2246.0,1011467200.0,45074,-1834
2016-10-10 11:16:59.500,2246.0,2247.0,2243.0,2244.0,494985580.0,22050,-1028
2016-10-10 11:17:59.500,2244.0,2246.0,2239.0,2244.0,646141380.0,28812,3500
2016-10-10 11:18:59.500,2244.0,2245.0,2243.0,2244.0,381756380.0,17012,4018
2016-10-10 11:19:59.500,2244.0,2249.0,2243.0,2248.0,632352220.0,28146,400
2016-10-10 11:20:59.500,2248.0,2249.0,2246.0,2247.0,403414380.0,17948,730
2016-10-10 11:21:59.500,2247.0,2250.0,2246.0,2246.0,598917560.0,26638,-4670
2016-10-10 11:22:59.500,2246.0,2248.0,2246.0,2247.0,128940120.0,5738,-366
2016-10-10 11:23:59.500,2247.0,2248.0,2245.0,2248.0,313276660.0,13944,-850
2016-10-10 11:24:59.500,2248.0,2248.0,2246.0,2247.0,144847340.0,6446,-328
2016-10-10 11:25:59.500,2247.0,2251.0,2247.0,2249.0,523933720.0,23294,-2520
2016-10-10 11:26:59.500,2249.0,2251.0,2249.0,2251.0,281314300.0,12500,-2146
2016-10-10 11:27:59.500,2251.0,2264.0,2249.0,2263.0,1249794600.0,55374,-13224
2016-10-10 11:28:59.500,2263.0,2264.0,2261.0,2261.0,1158515500.0,51198,-8174
2016-10-10 11:29:59.500,2261.0,2268.0,2261.0,2268.0,1159190460.0,51194,-12252
2016-10-10 13:30:59.000,2268.0,2269.0,2262.0,2262.0,1103493920.0,48700,-5412
2016-10-10 13:31:59.000,2262.0,2265.0,2262.0,2264.0,455510820.0,20120,1202
2016-10-10 13:32:59.000,2264.0,2264.0,2261.0,2262.0,404273340.0,17868,-1520
2016-10-10 13:33:59.000,2262.0,2262.0,2260.0,2260.0,355899900.0,15738,-2340
2016-10-10 13:34:59.000,2260.0,2262.0,2259.0,2261.0,423848240.0,18752,64
2016-10-10 13:35:59.000,2261.0,2263.0,2261.0,2263.0,246673100.0,10906,568
2016-10-10 13:36:59.000,2263.0,2263.0,2261.0,2261.0,148766560.0,6578,-150
2016-10-10 13:37:59.000,2261.0,2262.0,2261.0,2262.0,115952100.0,5128,152
2016-10-10 13:38:59.000,2262.0,2262.0,2259.0,2260.0,353758800.0,15650,718
2016-10-10 13:39:59.000,2260.0,2262.0,2260.0,2261.0,377641360.0,16702,3996
2016-10-10 13:40:59.000,2261.0,2262.0,2261.0,2262.0,169504060.0,7496,-1930
2016-10-10 13:41:59.000,2262.0,2262.0,2260.0,2261.0,92983740.0,4112,482
2016-10-10 13:42:59.000,2261.0,2261.0,2259.0,2261.0,136024320.0,6018,288
2016-10-10 13:43:59.000,2261.0,2265.0,2260.0,2265.0,419288800.0,18528,4162
2016-10-10 13:44:59.000,2265.0,2265.0,2262.0,2264.0,328355640.0,14504,-1666
2016-10-10 13:45:59.000,2264.0,2267.0,2263.0,2267.0,581681440.0,25672,4260
2016-10-10 13:46:59.000,2267.0,2267.0,2264.0,2264.0,352706080.0,15568,1820
2016-10-10 13:47:59.000,2264.0,2266.0,2263.0,2264.0,225223540.0,9946,-904
2016-10-10 13:48:59.000,2264.0,2270.0,2264.0,2267.0,911202400.0,40180,5680
2016-10-10 13:49:59.000,2267.0,2267.0,2265.0,2266.0,223991800.0,9886,-672
2016-10-10 13:50:59.000,2266.0,2268.0,2265.0,2266.0,211791800.0,9344,-1004
2016-10-10 13:51:59.000,2266.0,2266.0,2264.0,2264.0,153253020.0,6766,540
2016-10-10 13:52:59.000,2264.0,2266.0,2264.0,2266.0,202394260.0,8938,1398
2016-10-10 13:53:59.000,2266.0,2266.0,2264.0,2265.0,105767180.0,4670,2830
2016-10-10 13:54:59.000,2265.0,2265.0,2262.0,2263.0,385358700.0,17028,528
2016-10-10 13:55:59.000,2263.0,2264.0,2261.0,2262.0,308064480.0,13616,1376
